Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;
;;001;151;16001;60916;2025/000393;2025/040393;FUENTE MEGREZ, CONMEMORATIVA ESCUDO HISTÓRICO DE MADRID EN DISTRITO DE RETIRO. INSTALACIÓN;203;RETIRO;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;10628,1;10628,1;0;0;10628,1;10628,1;0;0;0;
;;001;151;16001;60916;2025/000393;2025/050393;FUENTE ALIOTH, CONMEMORATIVA ESCUDO HISTÓRICO DE MADRID EN DISTRITO ARGANZUELA. INSTALACIÓN;202;ARGANZUELA;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;11601,66;11601,66;0;0;11601,66;11601,66;0;0;0;
;;001;151;16001;60916;2025/000393;2025/060393;FUENTE MIZAR, CONMEMORATIVA ESCUDO HISTÓRICO DE MADRID EN DISTRITO MONCLOA-ARAVACA. INSTALACIÓN;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;24444,62;24444,62;0;0;24444,62;24444,62;24444,62;0;24444,62;
;;001;151;16001;61916;2025/001183;2025/001183;ESTANQUE Y FUENTE DEL TEMPLO DE DEBOD. OBRAS DE REHABILITACIÓN DE INSTALACIONES;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;55960;55960;0,24;0;55959,76;55959,76;0;0;0;
;;001;151;16001;61999;2019/004321;2019/004321;DEPURADORA DE BUTARQUE CONSOLIDACIÓN DE LOS TERRENOS;217;VILLAVERDE;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;;;;;;;626016;352243,5;978259,5;169288,09;0;808971,41;808971,41;806885,17;0;806885,17;
;;001;151;16070;61999;2024/000227;2024/000227;ALIVIADEROS DE LOS ESTANQUES DE TORMENTAS DE ABROÑIGALES Y LA GAVIA. ADECUACIÓN Y ACONDICIONAMIENTO;218;VILLA DE VALLECAS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;2800000;-1308965,18;1491034,82;71,13;0;1490963,69;1490963,69;636088,87;0;636088,87;
;;001;151;16210;63999;2025/001340;2025/001340;PUNTOS LIMPIOS FIJOS DE LA CIUDAD DE MADRID. ADQUISICIÓN DE CONTENEDORES METÁLICOS;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;;;;;;;0;170000;170000;170000;0;0;0;0;0;0;
;;001;151;16230;62701;2024/001177;2024/001177;CENTRO DE TRATAMIENTO LA PALOMA. OBRAS DE MODERNIZACIÓN Y MEJORA;218;VILLA DE VALLECAS;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;;;;;;;9891029;0;9891029;0,86;0;9891028,14;9891028,14;6106857,33;0;6106857,33;
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;151;16230;62701;2021/000001;2021/000001;CENTRO DE TRATAMIENTO  LAS DEHESAS. SISTEMAS DE DESODORIZACIÓN;218;VILLA DE VALLECAS;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;;;;;;;0;5683562,21;5683562,21;1427440,96;0;4256121,25;4256121,25;3236262,84;0;2339576,28;
;;001;151;16301;60913;2023/003052;2023/003052;ÁREAS INFANTILES DE INTEGRACIÓN. ACTUACIONES DE TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;2119383;-2119383;0;0;0;0;0;0;0;0;
